title,appid,categories,genres,price,developer,publisher
Remember Me,228300.0,,,,,
Mars: War Logs,232750.0,,,,,
The Bureau: XCOM Declassified,65930.0,,,,,
Resident Evil Revelations,222480.0,,,,,
Divinity: Dragon Commander,243950.0,,,,,
Castlevania: Lords of Shadow - Ultimate Edition,234080.0,,,,,
Wizardry 6: Bane of the Cosmic Forge,245410.0,,,,,
Wizardry 7: Crusaders of the Dark Savant,245430.0,,,,,
Wizardry 8,245450.0,,,,,
Dead State,239840.0,,,,,
Star Control: Origins,271260.0,,,,,
resident evil 4 (2005),254700.0,,,,,
Might & Magic X - Legacy ,238750.0,,,,,
Might & Magic VI,243380.0,,,,,
Robowars,285090.0,,,,,
Bound By Flame,243930.0,,,,,
Valkyria Chronicles™,294860.0,,,,,
ENDLESS™ Legend,289130.0,,,,,
FINAL FANTASY XIII-2,292140.0,,,,,
Battlezone 98 Redux,301650.0,,,,,
Submerged,301860.0,,,,,
Homeworld Remastered Collection,244160.0,,,,,
Deathtrap,310510.0,,,,,
Blackguards 2,314830.0,,,,,
Styx: Master of Shadows,242640.0,,,,,
Sid Meier's Covert Action (Classic),327390.0,,,,,
Sid Meier's Colonization (Classic),327400.0,,,,,
Oddworld: New 'n' Tasty,314660.0,,,,,
LIGHTNING RETURNS: FINAL FANTASY XIII,345350.0,,,,,
Cradle,361550.0,,,,,
Master of Orion 1,410970.0,,,,,
Master of Orion 2,410980.0,,,,,
Master of Orion 3,410990.0,,,,,
Tales of Zestiria,351970.0,,,,,
Anarchy Online,396280.0,,,,,
Epistory - Typing Chronicles,398850.0,,,,,
The Incredible Adventures of Van Helsing: Final Cut,400170.0,,,,,
Planetbase,403190.0,,,,,
EARTH DEFENSE FORCE 4.1  The Shadow of New Despair,410320.0,,,,,
Outlast 2,414700.0,,,,,
Space Pirate Trainer,418650.0,,,,,
Resident Evil 0,339340.0,,,,,
Cosmic Trip,427240.0,,,,,
Total War: ATTILA,325610.0,,,,,
Serious Sam VR: The Last Hope,465240.0,,,,,
State of Decay 2,495420.0,,,,,
Gabriel Knight: Sins of the Fathers,495700.0,,,,,
Phantasmagoria 2,501970.0,,,,,
Caesar 3,517790.0,,,,,
Caesar 4,517810.0,,,,,
Star Trek: Bridge Crew,527100.0,,,,,
Smashbox Arena,530350.0,,,,,
The Talos Principle VR,552440.0,,,,,
Serious Sam VR: The First Encounter,552450.0,,,,,
Serious Sam VR: The Second Encounter,552460.0,,,,,
Surgeon Simulator: Experience Reality,518920.0,,,,,
Serious Sam 3 VR: BFE,567670.0,,,,,
Battlezone: Combat Commander,624970.0,,,,,
Vaporum,629690.0,,,,,
Interplanetary,278910.0,,,,,
Interplanetary: Enhanced Edition,650220.0,,,,,
Dreamfall Chapters,237850.0,,,,,
Killing Floor: Incursion,690810.0,,,,,
Neverwinter Nights: Enhanced Edition,704450.0,,,,,
Valkyria Chronicles 4 Complete Edition,790820.0,,,,,
BATTLETECH,637090.0,,,,,
Swords of Gurrah,833090.0,,,,,
Moss,846470.0,,,,,
Katamari Damacy REROLL,848350.0,,,,,
XCOM: Chimera Squad,882100.0,,,,,
RAD,722560.0,,,,,
The Room VR: A Dark Matter,1104380.0,,,,,
State of Decay: Year-One,329430.0,,,,,
The Callisto Protocol,1544020.0,,,,,
Alien Swarm,630.0,,,,,
Dragon Age: Origins Character Creator,24920.0,,,,,
Football Manager 2009,10540.0,,,,,
Football Manager 2010,34000.0,,,,,
Fallout: New Vegas PCR,22490.0,,,,,
The Sims™ 3,47890.0,,,,,
Miscreated,299740.0,,,,,
Miscreated: Experimental Server,912290.0,,,,,
Hurtworld,393420.0,,,,,
theBlu,2217730.0,,,,,
Eleven Table Tennis,488310.0,,,,,
VR The Diner Duo,530120.0,,,,,
Headmaster,621010.0,,,,,
Dead Effect 2 VR,646200.0,,,,,
STAND OUT,748370.0,,,,,
PRO EVOLUTION SOCCER 2019,770240.0,,,,,
WAR DUST,957790.0,,,,,
Gas Station Simulator,1149620.0,,,,,
Mind Scanners,1389550.0,,,,,
Contraband Police: Prologue,1396240.0,,,,,
House Builder: First Job,1601840.0,,,,,
eFootball™ 2023,1665460.0,,,,,
In Sound Mind,1119980.0,,,,,
Mafia,40990.0,,,,,
Artifact Classic,583950.0,,,,,
Race: The WTCC Game,4230.0,,,,,
RACE: Caterham Expansion,4290.0,,,,,
Frontlines: Fuel of War,9460.0,,,,,
RACE 07,8600.0,,,,,
GTR Evolution,8662.0,,,,,
RACE 07 - Formula RaceRoom Add-On,44630.0,,,,,
Space Trader: Merchant Marine,11240.0,,,,,
Bully: Scholarship Edition,12200.0,,,,,
Zeno Clash,22200.0,,,,,
DiRT 2,12840.0,,,,,
Light of Altair,34500.0,,,,,
Clutch,35310.0,,,,,
RACE On,8640.0,,,,,
STCC: The Game,8690.0,,,,,
Bionic Commando,21670.0,,,,,
Twin Sector,27900.0,,,,,
East India Company,25930.0,,,,,
Bad Rats,34900.0,,,,,
Crash Time 2,11390.0,,,,,
Gyromancer,23380.0,,,,,
Section 8,38220.0,,,,,
Lucidity,32410.0,,,,,
Metal Drift,32200.0,,,,,
Shattered Horizon,18110.0,,,,,
Insecticide Part 1,16710.0,,,,,
Zero Gear,18820.0,,,,,
Foreign Legion: Buckets of Blood,36000.0,,,,,
Greed: Black Border,46400.0,,,,,
Supreme Commander 2,40100.0,,,,,
M.U.D. TV,43500.0,,,,,
Men of War: Red Tide,3130.0,,,,,
Cryostasis,7850.0,,,,,
Plain Sight,49900.0,,,,,
Avencast,46410.0,,,,,
Ignite,2103180.0,,,,,
Chrome,46420.0,,,,,
Chrome: Specforce,46430.0,,,,,
DogFighter,42500.0,,,,,
The Kings' Crusade,42920.0,,,,,
Future Wars,46440.0,,,,,
Trainz: Classic Cabon City,24640.0,,,,,
Trainz: Settle & Carlisle,24650.0,,,,,
Trainz: Murchison 2,24660.0,,,,,
Gish,9500.0,,,,,
Penumbra: Overture,22180.0,,,,,
Aquaria,24420.0,,,,,
Lugaru HD ,25010.0,,,,,
Samorost 2,40720.0,,,,,
Swarm Arena,46600.0,,,,,
Ship Simulator Extremes,48800.0,,,,,
Front Mission Evolved,43000.0,,,,,
Hacker Evolution - Untold,70110.0,,,,,
RUSH,844040.0,,,,,
Grotesque Tactics: Evil Heroes,46450.0,,,,,
Clones,72400.0,,,,,
Chaser,39670.0,,,,,
Ion Assault,41730.0,,,,,
MX vs. ATV Reflex,55140.0,,,,,
Guardians of Graxia,90500.0,,,,,
Two Worlds II HD,7520.0,,,,,
Depths of Peril,23600.0,,,,,
"On the Rain-Slick Precipice of Darkness, Episode Two",18020.0,,,,,
The Polynomial,67000.0,,,,,
Nail'd,40380.0,,,,,
Braid,26800.0,,,,,
Osmos,29180.0,,,,,
Machinarium,40700.0,,,,,
Broken Sword 3 - the Sleeping Dragon,33610.0,,,,,
"On the Rain-Slick Precipice of Darkness, Episode One",18000.0,,,,,
LEGO® Batman™: The Videogame,21000.0,,,,,
Ride 'em Low,65070.0,,,,,
Titan Quest,4540.0,,,,,
Iron Grip: Warlord,31700.0,,,,,
Agricultural Simulator 2011: Extended Edition,92900.0,,,,,
Cities in Motion,73010.0,,,,,
Drakensang The River of Time,33770.0,,,,,
Homefront,55100.0,,,,,
Painkiller: Redemption,65560.0,,,,,
Shadowgrounds,2500.0,,,,,
Shadowgrounds: Survivor,11200.0,,,,,
CreaVures,49810.0,,,,,
SpaceChem,92800.0,,,,,
Garshasp: The Monster Slayer,99400.0,,,,,
Post Apocalyptic Mayhem,91900.0,,,,,
STCC II,44620.0,,,,,
Dinner Date,94000.0,,,,,
Majesty 2 Collection,73020.0,,,,,
Capsized,95300.0,,,,,
Cargo! - The quest for gravity,41740.0,,,,,
Your Doodles Are Bugged!,95500.0,,,,,
BEEP,104200.0,,,,,
Scratches: Director's Cut,46460.0,,,,,
Hydrophobia: Prophecy,92000.0,,,,,
Naval Warfare,98500.0,,,,,
Two Worlds II Castle Defense,7530.0,,,,,
Bob Came in Pieces,46000.0,,,,,
Railroad Tycoon 3,7610.0,,,,,
Runespell: Overture,102200.0,,,,,
Painkiller Overdose,3270.0,,,,,
Hacker Evolution Duality,70120.0,,,,,
Chains,11360.0,,,,,
Tank Universal,19200.0,,,,,
Still Life,46480.0,,,,,
Still Life 2,46490.0,,,,,
Tobe's Vertical Adventure,105700.0,,,,,
GT Power Expansion,44650.0,,,,,
The Retro Expansion,44660.0,,,,,
The WTCC 2010 Pack,44670.0,,,,,
Race Injection,44680.0,,,,,
Trapped Dead,46540.0,,,,,
EDGE,38740.0,,,,,
Air Conflicts - Secret Wars,95900.0,,,,,
And Yet It Moves,18700.0,,,,,
Cogs,26500.0,,,,,
Crayon Physics Deluxe,26900.0,,,,,
Hammerfight,41100.0,,,,,
Steel Storm: Burning Retribution,96200.0,,,,,
TRAUMA,1772930.0,,,,,
Lucid,1717730.0,,,,,
Doc Clock: The Toasted Sandwich of Time,57800.0,,,,,
Pacific Storm,11250.0,,,,,
Insane 2,35320.0,,,,,
Gatling Gears,102810.0,,,,,
Men of War: Vietnam,63940.0,,,,,
The Baconing,18070.0,,,,,
Post Mortem,46550.0,,,,,
Robin Hood,46560.0,,,,,
Wasteland Angel,46520.0,,,,,
Starpoint Gemini,108110.0,,,,,
Off-Road Drive,200230.0,,,,,
Dungeons - The Dark Lord,200550.0,,,,,
HOARD,63000.0,,,,,
SOL: Exodus,200410.0,,,,,
Costume Quest,115100.0,,,,,
Disciples III: Resurrection,200670.0,,,,,
Nimbus,50000.0,,,,,
Before the Echo,200910.0,,,,,
Blocks That Matter,111800.0,,,,,
inMomentum,110400.0,,,,,
Sideway,200190.0,,,,,
Scoregasm,202410.0,,,,,
Jurassic Park: The Game,201830.0,,,,,
Really Big Sky,201570.0,,,,,
Zombie Shooter 2,33180.0,,,,,
Saira,48900.0,,,,,
SATAZIUS,203990.0,,,,,
Eets,6100.0,,,,,
Blackwell Unbound,80340.0,,,,,
Blackwell Convergence,80350.0,,,,,
Demigod,202710.0,,,,,
Pineapple Smash Crew ,204390.0,,,,,
X-COM: Interceptor,7730.0,,,,,
Snuggle Truck,111100.0,,,,,
1000 Amps,205690.0,,,,,
Toki Tori,38700.0,,,,,
Insanely Twisted Shadow Planet,205730.0,,,,,
Foreign Legion: Multi Massacre,205550.0,,,,,
Stacking,115110.0,,,,,
Painkiller: Recurring Evil,206760.0,,,,,
English Country Tune,207570.0,,,,,
Pickers,204440.0,,,,,
Numen: Contest of Heroes,60800.0,,,,,
Majesty 2,25980.0,,,,,
Lunar Flight,208600.0,,,,,
Altitude,41300.0,,,,,
Analogue: A Hate Story,209370.0,,,,,
Mini Motor Racing EVO,209520.0,,,,,
Mini Motor Racing X,1303990.0,,,,,
Roller Coaster Rampage,209610.0,,,,,
Toy Soldiers,98300.0,,,,,
Cannon Fodder 3,209750.0,,,,,
Astro Tripper,110600.0,,,,,
Madballs in...Babo: Invasion,25700.0,,,,,
FlatOut,6220.0,,,,,
Men of War: Condemned Heroes,204860.0,,,,,
Alien Shooter,33100.0,,,,,
Warlock - Master of the Arcane,203630.0,,,,,
Disciples II: Gallean's Return,1640.0,,,,,
A Valley Without Wind,209330.0,,,,,
A Valley Without Wind 2,228320.0,,,,,
Adventures of Shuggy,211440.0,,,,,
Tales from Space: Mutant Blobs Attack,206370.0,,,,,
Kung Fu Strike: The Warrior's Rise,212030.0,,,,,
The Void,37000.0,,,,,
X-COM: Apocalypse,7660.0,,,,,
X-COM: Enforcer,7770.0,,,,,
X-COM: Terror from the Deep,7650.0,,,,,
Waveform,204180.0,,,,,
Puzzle Kingdoms,23700.0,,,,,
Bang Bang Racing,207020.0,,,,,
Rigonauts,214100.0,,,,,
Clive Barker's Jericho,11420.0,,,,,
Damnation,12790.0,,,,,
FUEL,12800.0,,,,,
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,213030.0,,,,,
Tiny and Big: Grandpa's Leftovers,205910.0,,,,,
Xotic,92600.0,,,,,
Galaxy on Fire 2™ Full HD,212010.0,,,,,
Blades of Time,208670.0,,,,,
Ravaged Zombie Apocalypse,96300.0,,,,,
RIP,923530.0,,,,,
RIP 2: Strike Back,2545.0,,,,,
RIP 3: The Last Hero,2550.0,,,,,
Pacific Storm: Allies,11260.0,,,,,
Death to Spies,9800.0,,,,,
Death to Spies: Moment of Truth,34410.0,,,,,
Rig 'n' Roll,46370.0,,,,,
Reign: Conflict of Nations,46380.0,,,,,
Garshasp: Temple of the Dragon,99410.0,,,,,
Galactic Civilizations I: Ultimate Edition,214150.0,,,,,
Dangerous High School Girls in Trouble!,27400.0,,,,,
Thirty Flights of Loving,214700.0,,,,,
Kaptain Brawe: A Brawe New World,65080.0,,,,,
Shad'O,215770.0,,,,,
Ether Vapor Remaster,214570.0,,,,,
The Basement Collection,214790.0,,,,,
Planets Under Attack,218510.0,,,,,
Air Conflicts: Pacific Carriers,214910.0,,,,,
I Am Alive,214250.0,,,,,
Shatter,2232350.0,,,,,
Vessel,108500.0,,,,,
Dustforce,65300.0,,,,,
Wizorb,207420.0,,,,,
Lucius,218640.0,,,,,
Men of War,7830.0,,,,,
NecroVisioN: Lost Company,46250.0,,,,,
Fantasy Wars,63900.0,,,,,
XIII Century,34420.0,,,,,
Knights of Honor,25830.0,,,,,
Europa Universalis: Rome - Gold Edition,23420.0,,,,,
Europa Universalis: Rome - Vae Victis,23440.0,,,,,
Elven Legacy,25850.0,,,,,
Hearts of Iron II: Complete,22130.0,,,,,
Little Inferno,221260.0,,,,,
Train Simulator,24010.0,,,,,
Dream Pinball 3D,215790.0,,,,,
X-Blades,7510.0,,,,,
007™ Legends,211670.0,,,,,
Dogfight 1942,217790.0,,,,,
Fairy Bloom Freesia,214590.0,,,,,
Legendary,16730.0,,,,,
Karateka ,217270.0,,,,,
Genesis Rising,3230.0,,,,,
Aura: Fate of the Ages,65500.0,,,,,
Cargo Commander,220460.0,,,,,
Xenonauts,223830.0,,,,,
Krater,42170.0,,,,,
Disciples III: Renaissance,33670.0,,,,,
Imperium Romanum: Gold Edition,23400.0,,,,,
Patrician IV: Steam Special Edition,57620.0,,,,,
Patrician IV: Rise of a Dynasty,57730.0,,,,,
Tropico,33520.0,,,,,
Tropico 2: Pirate Cove,33530.0,,,,,
NiGHTS into Dreams...,219950.0,,,,,
Yosumin!,23300.0,,,,,
FLY'N,223730.0,,,,,
Dollar Dash,214320.0,,,,,
Blade Symphony,225600.0,,,,,
GT Legends,44690.0,,,,,
GTR - FIA GT Racing Game,44600.0,,,,,
GTR 2 - FIA GT Racing Game,8790.0,,,,,
AirBuccaneers,223630.0,,,,,
Death Track: Resurrection,7840.0,,,,,
Real Warfare,46350.0,,,,,
Real Warfare 2: Northern Crusades,202860.0,,,,,
Star Wolves 2,46280.0,,,,,
Star Wolves 3: Civil War,46260.0,,,,,
Hearts of Iron III,25890.0,,,,,
Weird Worlds: Return to Infinite Space,226120.0,,,,,
Primordia,227000.0,,,,,
Party of Sin,212700.0,,,,,
Crazy Taxi,71230.0,,,,,
SEGA Bass Fishing,71240.0,,,,,
Space Channel 5: Part 2,71260.0,,,,,
DmC Devil May Cry,220440.0,,,,,
Waking Mars,227200.0,,,,,
Sang-Froid - Tales of Werewolves,227220.0,,,,,
Proteus,219680.0,,,,,
Primal Fears,211280.0,,,,,
Ace of Spades,2288950.0,,,,,
Project Aftermath,21400.0,,,,,
Dungeon Hearts,229520.0,,,,,
No Time to Explain,227280.0,,,,,
Retrovirus,227800.0,,,,,
APB Reloaded,113400.0,,,,,
SolForge,232450.0,,,,,
March of the Eagles,227760.0,,,,,
Angelica Weaver: Catch Me When You Can - Collector’s Edition,218700.0,,,,,
Starseed Pilgrim,230980.0,,,,,
DIVO,230760.0,,,,,
Super House of Dead Ninjas,224820.0,,,,,
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,218060.0,,,,,
King Arthur - Fallen Champions,24460.0,,,,,
King Arthur: Collection,24470.0,,,,,
King Arthur II - The Role-playing Wargame,24480.0,,,,,
Kairo,233230.0,,,,,
TrackMania² Canyon,228760.0,,,,,
TrackMania² Stadium,232910.0,,,,,
Fallen Enchantress: Legendary Heroes,228260.0,,,,,
Judge Dredd: Dredd vs Death,3710.0,,,,,
Slam Bolt Scrappers,96900.0,,,,,
18 Wheels of Steel: American Long Haul,12520.0,,,,,
18 Wheels of Steel: Extreme Trucker,33730.0,,,,,
Hunting Unlimited 2010,12690.0,,,,,
Retro/Grade,222660.0,,,,,
Alien Spidy,207000.0,,,,,
Rush Bros,234490.0,,,,,
Papo & Yo,227080.0,,,,,
The First Templar,57680.0,,,,,
Ultratron,219190.0,,,,,
StarForge,1490580.0,,,,,
POSTAL,232770.0,,,,,
Star Trek,203250.0,,,,,
Eador. Masters of the Broken World,232050.0,,,,,
Eador. Genesis,235660.0,,,,,
Zombie Bowl-O-Rama,32160.0,,,,,
Leviathan: Warships,202270.0,,,,,
The 39 Steps,234940.0,,,,,
Anomaly 2,236730.0,,,,,
Zack Zero,234290.0,,,,,
Receiver,234190.0,,,,,
Drakensang,12640.0,,,,,
Zeno Clash 2,215690.0,,,,,
Shadow Warrior Classic (1997),238070.0,,,,,
Wallace & Gromit Ep 1: Fright of the Bumblebees,31100.0,,,,,
Wallace & Gromit Ep 2: The Last Resort,31110.0,,,,,
Wallace & Gromit Ep 3: Muzzled!,31120.0,,,,,
Wallace & Gromit Ep 4: The Bogey Man,31130.0,,,,,
Sam & Max 301: The Penal Zone,31220.0,,,,,
Sam & Max 302: The Tomb of Sammun-Mak,31230.0,,,,,
Sam & Max 303: They Stole Max's Brain!,31240.0,,,,,
Sam & Max 304: Beyond the Alley of the Dolls,31250.0,,,,,
Sam & Max 305: The City that Dares not Sleep,31260.0,,,,,
Puzzle Agent,31270.0,,,,,
Poker Night at the Inventory,31280.0,,,,,
Puzzle Agent 2,94590.0,,,,,
Hector: Ep 1,94600.0,,,,,
Hector: Ep 2,94610.0,,,,,
Hector: Ep 3,94620.0,,,,,
Bad Bots,235070.0,,,,,
Reus,222730.0,,,,,
Super Puzzle Platformer Deluxe,238530.0,,,,,
DARK,225360.0,,,,,
Skyward Collapse,238890.0,,,,,
The Whispered World,18490.0,,,,,
Cubetractor,235720.0,,,,,
Afterfall InSanity Extended Edition,224420.0,,,,,
Fist Puncher,238630.0,,,,,
140,242820.0,,,,,
Agricultural Simulator 2013 Steam Edition,236790.0,,,,,
FRACT OSC,243220.0,,,,,
Poof,243280.0,,,,,
Joe Danger 2: The Movie,242110.0,,,,,
Bleed,239800.0,,,,,
Toki Tori 2+,201420.0,,,,,
Legends of Dawn,234980.0,,,,,
Legends of Dawn Reborn,403200.0,,,,,
Edge of Space,238240.0,,,,,
Face Noir,244690.0,,,,,
Electronic Super Joy,244870.0,,,,,
Velocity®Ultra,244890.0,,,,,
Where is my Heart?,244950.0,,,,,
The Novelist,245150.0,,,,,
Duke Nukem,240160.0,,,,,
Duke Nukem 2,240180.0,,,,,
Duke Nukem: Manhattan Project,240200.0,,,,,
Sacraboar,40500.0,,,,,
CastleStorm,241410.0,,,,,
Mercenary Kings,218820.0,,,,,
Paranormal,246300.0,,,,,
Perfection.,246360.0,,,,,
Secrets of Rætikon,246680.0,,,,,
Huntsman - The Orphanage Halloween Edition,246740.0,,,,,
InFlux,246980.0,,,,,
"Cook, Serve, Delicious!",247020.0,,,,,
Gravi,247310.0,,,,,
Mutant Mudds Deluxe,247370.0,,,,,
Castle of Illusion,227600.0,,,,,
PixelJunk™ Monsters Ultimate,243780.0,,,,,
Epigenesis,244590.0,,,,,
Divekick,244730.0,,,,,
Beatbuddy: Tale of the Guardians,231040.0,,,,,
Knytt Underground,248190.0,,,,,
Freedom Planet,248310.0,,,,,
Omegalodon,248350.0,,,,,
Bridge It (plus),248370.0,,,,,
Legends of Aethereus,248410.0,,,,,
Depth Hunter 2: Deep Dive,248530.0,,,,,
Megabyte Punch,248550.0,,,,,
Iesabel,248710.0,,,,,
THE KING OF FIGHTERS XIII STEAM EDITION,222940.0,,,,,
Desperados 2: Cooper’s Revenge,9710.0,,,,,
Teslagrad,249590.0,,,,,
Marlow Briggs,249680.0,,,,,
ENSLAVED™: Odyssey to the West™ Premium Edition,245280.0,,,,,
Godus,232810.0,,,,,
Godus Wars,422420.0,,,,,
Lilly Looking Through,250030.0,,,,,
Hate Plus,239700.0,,,,,
Jazzpunk: Director's Cut,250260.0,,,,,
Blockland,250340.0,,,,,
Paranautical Activity: Deluxe Atonement Edition,250580.0,,,,,
Among the Sleep,250620.0,,,,,
Super Time Force Ultra,250700.0,,,,,
F1 2013,223670.0,,,,,
The Legend of Heroes: Trails in the Sky,251150.0,,,,,
Eleusis,251310.0,,,,,
Master Reboot,251850.0,,,,,
Go! Go! Nippon! ~My First Trip to Japan~,251870.0,,,,,
Long Live The Queen,251990.0,,,,,
Oniken,252010.0,,,,,
Double Dragon Neon,252350.0,,,,,
Dusty Revenge,252430.0,,,,,
Eldritch,252630.0,,,,,
MouseCraft,252750.0,,,,,
Claire,252830.0,,,,,
Skyscraper Simulator,252910.0,,,,,
Axis Game Factory's AGFPRO 3.0,253370.0,,,,,
Hot Tin Roof: The Cat That Wore A Fedora,253390.0,,,,,
CastleMiner Z,253430.0,,,,,
Wrack,253610.0,,,,,
Earth 2150 Trilogy,253880.0,,,,,
Earth 2150: The Moon Project,259280.0,,,,,
Earth 2150: Lost Souls,259300.0,,,,,
Septerra Core,253940.0,,,,,
Enclave,253980.0,,,,,
Pirates of Black Cove Gold,254040.0,,,,,
KnightShift,254060.0,,,,,
Urban Trial Freestyle,243450.0,,,,,
Cognition: An Erica Reed Thriller,242780.0,,,,,
BookWorm Deluxe,3370.0,,,,,
Feeding Frenzy 2: Shipwreck Showdown Deluxe,3390.0,,,,,
Escape Rosecliff Island,3600.0,,,,,
Aarklash: Legacy,222640.0,,,,,
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,246960.0,,,,,
The 7th Guest,255920.0,,,,,
The 11th Hour,255940.0,,,,,
Dark Sector,29900.0,,,,,
Truck Racer,256070.0,,,,,
MXGP - The Official Motocross Videogame,256370.0,,,,,
Darkout,257050.0,,,,,
SkyDrift,91100.0,,,,,
Anna - Extended Edition,217690.0,,,,,
Not The Robots,257120.0,,,,,
Inherit the Earth: Quest for the Orb,257260.0,,,,,
Bionic Dues,238910.0,,,,,
Soundodger+,247140.0,,,,,
Serious Sam 4,257420.0,,,,,
Eschalon: Book 3,257870.0,,,,,
Frozen Hearth,257890.0,,,,,
Probability 0,258070.0,,,,,
99 Spirits,258090.0,,,,,
Tsukumogami,262300.0,,,,,
Talisman: Prologue,258200.0,,,,,
Blood Knights,258220.0,,,,,
Dungeonbowl Knockout Edition,209390.0,,,,,
Scania Truck Driving Simulator,258760.0,,,,,
"I Have No Mouth, and I Must Scream",245390.0,,,,,
Citizens of Earth,258910.0,,,,,
Ballpoint Universe: Infinite,259390.0,,,,,
Hero of the Kingdom,259550.0,,,,,
Finding Teddy,259600.0,,,,,
Agricultural Simulator: Historical Farming,259890.0,,,,,
Blood of the Werewolf,260250.0,,,,,
Takedown: Red Sabre,236510.0,,,,,
Pool Nation,254440.0,,,,,
World Basketball Tycoon,260510.0,,,,,
Desperados - Wanted Dead or Alive,260730.0,,,,,
Killer is Dead,261110.0,,,,,
Lethal League,261180.0,,,,,
Dementium II HD,217100.0,,,,,
Call of Juarez,3020.0,,,,,
SNOW,244930.0,,,,,
Lifeless Planet,261530.0,,,,,
Final Exam,233190.0,,,,,
Holy Avatar vs. Maidens of the Dead,261720.0,,,,,
Humans Must Answer,261740.0,,,,,
Lichdom: Battlemage,261760.0,,,,,
The Mysterious Cities of Gold - Secret Paths,261940.0,,,,,
Vanguard Princess,262150.0,,,,,
Rollers of the Realm,262470.0,,,,,
Gunman Clive,262550.0,,,,,
Little Racers STREET,262690.0,,,,,
Freedom Fall,262770.0,,,,,
Recovery Search and Rescue Simulation ,262870.0,,,,,
LUDWIG,263120.0,,,,,
Signs of Life,263200.0,,,,,
3089 -- Futuristic Action RPG,263360.0,,,,,
Driftmoon,263380.0,,,,,
Girls Like Robots,263460.0,,,,,
Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,263680.0,,,,,
Muffin Knight,263700.0,,,,,
FootLOL: Epic Soccer League,263740.0,,,,,
Aqua Kitty - Milk Mine Defender,263880.0,,,,,
Vangers,264080.0,,,,,
Mr. Bree+,264220.0,,,,,
99 Levels To Hell,264280.0,,,,,
Captain Morgane and the Golden Turtle,264320.0,,,,,
Major Mayhem,264340.0,,,,,
A-men,264460.0,,,,,
Platformines,264540.0,,,,,
Deadly 30,264730.0,,,,,
Archon:Classic,65400.0,,,,,
Viscera Cleanup Detail: Santa's Rampage,265210.0,,,,,
Grimind,265380.0,,,,,
FX Football - The Manager for Every Football Fan,265400.0,,,,,
Football Club Simulator - FCS #21,324090.0,,,,,
Epic Battle Fantasy 4,265610.0,,,,,
NaissanceE,265690.0,,,,,
Residue: Final Cut,265790.0,,,,,
Monochroma,265830.0,,,,,
Tower of Guns,266110.0,,,,,
Windforge,266170.0,,,,,
Procyon,266250.0,,,,,
Helicopter Simulator 2014: Search and Rescue,266290.0,,,,,
GameGuru Classic,266310.0,,,,,
Lili: Child of Geos,266490.0,,,,,
Combat Wings: Battle of Britain,34820.0,,,,,
Gravity Badgers,267060.0,,,,,
Heroes of Annihilated Empires,4800.0,,,,,
Beware Planet Earth,267340.0,,,,,
Airport Simulator 2014,267600.0,,,,,
Woodcutter Simulator 2013,267610.0,,,,,
Gun Metal,267920.0,,,,,
Glacier 3: The Meltdown,267940.0,,,,,
Hyper Fighters,267960.0,,,,,
Hostile Waters: Antaeus Rising,267980.0,,,,,
Meltdown,268220.0,,,,,
Mechanic Escape,268240.0,,,,,
Krautscape,268360.0,,,,,
From The Depths,268650.0,,,,,
WORLD END ECONOMiCA episode.01,269250.0,,,,,
LOVE,269270.0,,,,,
Arcane Worlds,269610.0,,,,,
N.P.P.D. RUSH - The milk of Ultra violet,270090.0,,,,,
Robot Roller-Derby Disco Dodgeball,270450.0,,,,,
Critical Mass,105300.0,,,,,
Go Home Dinosaurs!,216090.0,,,,,
LocoCycle,224040.0,,,,,
Tribloos 2,271550.0,,,,,
Space Farmers,271570.0,,,,,
Humanity Asset,271640.0,,,,,
Card City Nights,271820.0,,,,,
Broken Age,232790.0,,,,,
Aveyond 3-1: Lord of Twilight,272010.0,,,,,
KAMI,272040.0,,,,,
Ethan: Meteor Hunter,266330.0,,,,,
OlliOlli,274250.0,,,,,
Jet Car Stunts,274880.0,,,,,
Influent,274980.0,,,,,
Post Master ,275080.0,,,,,
Chip,275470.0,,,,,
Canyon Capers,275490.0,,,,,
Z,275530.0,,,,,
Sudeki,233350.0,,,,,
Shiny The Firefly,277510.0,,,,,
Shantae: Risky's Revenge - Director's Cut,277890.0,,,,,
RIVE,278100.0,,,,,
3 Stars of Destiny,278530.0,,,,,
Angvik,278890.0,,,,,
Nicolas Eymerich The Inquisitor,279500.0,,,,,
Infinity Runner,279920.0,,,,,
Pulstar,280460.0,,,,,
A Boy and His Blob,281200.0,,,,,
BloodRayne: Betrayal (Legacy),281220.0,,,,,
Ubersoldier II,281410.0,,,,,
4PM,281840.0,,,,,
Woolfe - The Red Hood Diaries,281940.0,,,,,
Freedom Force,8880.0,,,,,
Freedom Force vs. the 3rd Reich,8890.0,,,,,
100% Orange Juice,282800.0,,,,,
The Samaritan Paradox,283180.0,,,,,
Nosferatu: The Wrath of Malachi,283290.0,,,,,
Soulbringer,283310.0,,,,,
Desert Thunder,283330.0,,,,,
Eurofighter Typhoon,283350.0,,,,,
Incoming Forces,283390.0,,,,,
Litil Divil,283430.0,,,,,
Ihf Handball Challenge 12,283490.0,,,,,
